id,created_at,product_key,name,brand,category,price,currency,image_url,is_skin_friendly,tags,finish,coverage,is_active,updated_at,description,skin_type,item_form
02bcab17-bcc5-4c9e-b30e-269c16100ae9,2026-01-25 12:20:45.448514+00,fnd_covergirl_clean,Clean Liquid Foundation,CoverGirl,foundation,10.99,USD,https://images.openbeautyfacts.org/images/products/402/145/764/5350/front_en.9.400.jpg,true,fragrance_free,natural,light,true,2026-01-25 12:20:45.448514+00,"Clean Liquid Foundation by CoverGirl is a foundation designed for comfortable all-day wear. It offers light coverage; a natural finish; features fragrance_free; skin-friendly formula. Use it alone for a natural base or pair it with your routine for a polished finish.",Normal,Liquid
02f0d97d-f79f-4726-9a2f-d0950eab5241,2026-01-25 12:20:45.448514+00,fnd_maybelline_fitme_matte,Fit Me Matte + Poreless Foundation,Maybelline,foundation,9.99,USD,https://images.openbeautyfacts.org/images/products/360/053/074/6507/front_fr.4.400.jpg,true,non_comedogenic,matte,medium,true,2026-01-25 12:20:45.448514+00,"Fit Me Matte + Poreless Foundation by Maybelline is a foundation designed for comfortable all-day wear. It offers medium coverage; a matte finish; features non_comedogenic; skin-friendly formula. Use it alone for a natural base or pair it with your routine for a polished finish.","Oily, Combination",Liquid
041a3591-34d9-483f-aa88-7589994d9e1b,2026-01-25 12:20:45.448514+00,hgl_wetnwild_megaglo,MegaGlo Highlighting Powder,Wet n Wild,highlighter,5.99,USD,,true,cruelty_free,shimmer,,true,2026-01-25 12:20:45.448514+00,"MegaGlo Highlighting Powder by Wet n Wild is a powder designed for comfortable all-day wear. It offers a shimmer finish; features cruelty_free; skin-friendly formula. Use it alone for a natural base or pair it with your routine for a polished finish.",All,Powder
058dce67-fdb6-4564-b2a0-e8f2cf598a26,2026-01-25 12:20:45.448514+00,gloss_revlon_super_lustrous,Super Lustrous The Gloss,Revlon,lip_gloss,9.49,USD,https://images.openbeautyfacts.org/images/products/803/338/915/0204/front_en.3.400.jpg,true,,glossy,,true,2026-01-25 12:20:45.448514+00,"Super Lustrous The Gloss by Revlon is a lip gloss designed for smooth, blendable application. It offers a glossy finish; skin-friendly formula. Perfect for everyday looks or building up for a bolder statement.",All,Liquid
067d0471-5651-47ac-b62e-ef80a3270081,2026-01-25 12:20:45.448514+00,hgl_maybelline_master_chrome,Master Chrome Highlighter,Maybelline,highlighter,9.99,USD,,true,,metallic,,true,2026-01-25 12:20:45.448514+00,"Master Chrome Highlighter by Maybelline is a highlighter designed for smooth, blendable application. It offers a metallic finish; skin-friendly formula. Blend it softly for a natural flush or build it up for more impact.",All,Powder
06e7e45b-607c-4a3f-be15-c800dc47aae6,2026-01-25 12:20:45.448514+00,esh_too_faced_chocolate,Chocolate Palette,Too Faced,eyeshadow,49.0,USD,https://images.openbeautyfacts.org/images/products/000/261/255/2700/front_xx.3.400.jpg,false,,shimmer,,true,2026-01-25 12:20:45.448514+00,"Chocolate Palette by Too Faced is a eyeshadow designed for smooth, blendable application. It offers a shimmer finish. Ideal for subtle definition or dramatic glam, depending on how you layer it.",All,Powder
09aecbe8-a727-4dea-a6a0-39ea242fa1b7,2026-01-25 12:20:45.448514+00,gloss_buxom_fullon,Full-On Plumping Lip Polish,Buxom,lip_gloss,23.0,USD,,false,,glossy,,true,2026-01-25 12:20:45.448514+00,"Full-On Plumping Lip Polish by Buxom is a lip gloss designed for smooth, blendable application. It offers a glossy finish. Perfect for everyday looks or building up for a bolder statement.",All,Liquid
1399c40a-21a9-4254-a632-fa010890c1e0,2026-01-25 12:20:45.448514+00,esh_covergirl_trunaked_roses,TruNaked Roses Palette,CoverGirl,eyeshadow,14.99,USD,https://images.openbeautyfacts.org/images/products/002/270/058/1139/front_en.3.400.jpg,true,,satin,,true,2026-01-25 12:20:45.448514+00,"TruNaked Roses Palette by CoverGirl is a eyeshadow designed for smooth, blendable application. It offers a satin finish; skin-friendly formula. Ideal for subtle definition or dramatic glam, depending on how you layer it.",All,Powder
13b883b4-12c2-465c-8842-410cc94b31f5,2026-01-25 12:20:45.448514+00,hgl_fenty_killah_watt,Killawatt Freestyle Highlighter,Fenty Beauty,highlighter,40.0,USD,,false,,shimmer,,true,2026-01-25 12:20:45.448514+00,"Killawatt Freestyle Highlighter by Fenty Beauty is a highlighter designed for smooth, blendable application. It offers a shimmer finish. Blend it softly for a natural flush or build it up for more impact.",All,Powder
14a21fa3-f1e1-4bef-9fed-a986a1dc2f70,2026-01-25 12:20:45.448514+00,esh_abh_soft_glam,Soft Glam Palette,Anastasia Beverly Hills,eyeshadow,45.0,USD,https://images.openbeautyfacts.org/images/products/080/089/714/2926/front_es.6.400.jpg,false,,matte,,true,2026-01-25 12:20:45.448514+00,"Soft Glam Palette by Anastasia Beverly Hills is a eyeshadow designed for smooth, blendable application. It offers a matte finish. Ideal for subtle definition or dramatic glam, depending on how you layer it.",All,Powder
